Timestamps(ms),AccelX,AccelY,AccelZ
13175,-0.4573,1.1875,10.9200
13185,-0.3496,1.1756,10.9439
13195,-0.3687,1.2210,10.9535
13205,-0.3926,1.1301,10.9391
13274,-0.3639,1.1971,10.9295
13284,-0.3926,1.1827,11.0205
13294,-0.3950,1.1779,11.0109
13304,-0.3855,1.1803,10.8960
13314,-0.3735,1.1492,10.9176
13324,-0.3855,1.1540,10.9607
13334,-0.4166,1.2306,10.9152
13412,-0.3424,1.1396,10.9918
13422,-0.4190,1.2043,11.0133
13432,-0.2993,1.1109,11.0277
13442,-0.3591,1.2067,10.9630
13452,-0.3974,1.1899,10.9822
13462,-0.3567,1.2043,10.9367
13472,-0.3831,1.1061,10.9870
13550,-0.3663,1.2306,10.9295
13560,-0.3519,1.1971,10.9870
13570,-0.4022,1.1420,11.0061
13580,-0.3950,1.2258,10.9942
13590,-0.3424,1.1612,10.9152
13600,-0.3256,1.1612,10.9391
13610,-0.3639,1.1779,11.0014
13690,-0.4214,1.1708,10.9487
13700,-0.3328,1.2210,10.9295
13710,-0.3663,1.1516,11.0325
13720,-0.3639,1.2498,10.9415
13730,-0.3256,1.1396,10.9319
13740,-0.3256,1.2306,10.9822
13750,-0.3879,1.1732,10.9607
13824,-0.3567,1.2665,10.9319
13834,-0.3615,1.1875,10.9343
13844,-0.3711,1.2043,10.9846
13854,-0.3591,1.1827,10.9750
13864,-0.2993,1.1875,10.9008
13874,-0.3663,1.1636,10.9630
13884,-0.3232,1.1660,10.9990
13960,-0.3089,1.1947,11.0301
13970,-0.3687,1.1947,10.9583
13980,-0.3376,1.1756,10.9008
13990,-0.3543,1.1444,10.9990
14000,-0.3879,1.1157,10.9008
14010,-0.3759,1.2139,10.9559
14020,-0.3184,1.2210,10.9726
14096,-0.3950,1.2091,10.9702
14106,-0.3376,1.2067,10.9535
14116,-0.3472,1.2019,10.9104
14126,-0.3783,1.1971,10.9319
14136,-0.3424,1.1947,11.0253
14146,-0.3376,1.1947,11.0085
14156,-0.3926,1.1899,10.9630
14166,-0.3519,1.2163,10.9391
14244,-0.3615,1.1492,10.9726
14254,-0.3496,1.1492,11.0349
14264,-0.3974,1.2306,10.9894
14274,-0.3496,1.2282,10.9654
14284,-0.3496,1.1349,11.0014
14294,-0.4094,1.1875,10.9152
14304,-0.3783,1.1301,11.0229
14380,-0.3352,1.1349,10.9942
14390,-0.3567,1.2354,10.9152
14400,-0.3472,1.1756,10.9008
14410,-0.4070,1.2091,11.0229
14420,-0.3974,1.1827,10.9511
14430,-0.3567,1.2067,11.0564
14440,-0.4334,1.1779,10.9559
14519,-0.3950,1.2354,10.9774
14529,-0.4046,1.1732,10.9463
14539,-0.3783,1.1779,10.8553
14549,-0.3424,1.2186,10.9535
14559,-0.4262,1.1420,10.9104
14569,-0.3831,1.2570,10.9630
14579,-0.3759,1.1444,11.0085
14655,-0.3639,1.1708,10.9702
14665,-0.3711,1.1923,10.9846
14675,-0.3304,1.2091,10.9367
14685,-0.3879,1.1612,10.9247
14695,-0.3950,1.1995,10.8769
14705,-0.2969,1.1899,10.9630
14715,-0.3376,1.1684,10.9966
14789,-0.3903,1.1899,10.9846
14799,-0.3783,1.2091,10.9295
14809,-0.3759,1.1612,10.9415
14819,-0.3232,1.1899,10.9367
14829,-0.3400,1.2163,10.8625
14839,-0.3496,1.1732,10.9223
14849,-0.3496,1.1899,10.9271
14932,-0.3926,1.1803,10.9583
14942,-0.4022,1.1779,10.9942
14952,-0.3998,1.2354,10.9391
14962,-0.3735,1.1708,10.9343
14972,-0.4214,1.1564,10.9654
14982,-0.3974,1.1684,10.9487
14992,-0.3903,1.2019,10.9630
15076,-0.3017,1.1756,10.9152
15086,-0.3328,1.2522,10.9343
15096,-0.3855,1.1875,10.9654
15106,-0.3184,1.2306,10.9750
15116,-0.3639,1.1516,11.0349
15126,-0.3783,1.1468,10.9870
15136,-0.3591,1.1612,10.8697
15218,-0.3472,1.1636,10.9223
15228,-0.3543,1.1420,10.9966
15238,-0.3663,1.1253,10.9463
15248,-0.4022,1.1684,10.8888
15258,-0.3472,1.2330,10.8505
15268,-0.3903,1.1660,10.9990
15278,-0.3639,1.2186,10.9654
15356,-0.3950,1.1899,11.0325
15366,-0.2897,1.1923,10.9918
15376,-0.3903,1.2043,10.9942
15386,-0.3663,1.1660,10.9367
15396,-0.4022,1.1540,10.8936
15406,-0.3615,1.2139,10.9343
15416,-0.3926,1.2330,10.9439
15486,-0.3855,1.1899,10.9271
15496,-0.3328,1.1612,10.8840
15506,-0.3567,1.1971,10.9271
15516,-0.3926,1.2594,10.9966
15526,-0.4453,1.2210,10.9487
15536,-0.3783,1.1708,10.9104
15546,-0.4022,1.2258,10.9080
15628,-0.3974,1.1157,10.8697
15638,-0.3663,1.1827,10.9654
15648,-0.4214,1.1516,10.8505
15658,-0.3950,1.1756,10.8864
15668,-0.3041,1.1803,10.8601
15678,-0.3376,1.1756,11.0229
15688,-0.3424,1.1947,10.9511
15767,-0.4262,1.1468,10.9966
15777,-0.4166,1.1636,10.9535
15787,-0.3017,1.2354,10.9966
15797,-0.3926,1.2234,10.9918
15807,-0.3472,1.1899,10.8194
15817,-0.4214,1.1923,10.9654
15827,-0.3663,1.2139,10.9511
15909,-0.3328,1.1875,10.9678
15919,-0.3783,1.1995,10.9223
15929,-0.3855,1.2186,10.9822
15939,-0.3112,1.1803,11.0612
15949,-0.3974,1.1684,10.9750
15959,-0.3974,1.2139,10.9128
15969,-0.4022,1.1660,10.8816
15979,-0.3735,1.2234,10.9798
16052,-0.3376,1.1899,10.9535
16062,-0.3855,1.1684,10.9295
16072,-0.3687,1.2115,10.9990
16082,-0.3974,1.1301,10.9894
16092,-0.3352,1.2809,10.9870
16102,-0.3974,1.1899,10.9271
16112,-0.3304,1.2330,11.0157
16191,-0.3567,1.1756,10.9223
16201,-0.3519,1.1779,11.0014
16211,-0.4022,1.1277,11.0061
16221,-0.3903,1.1923,10.9750
16231,-0.3998,1.2282,10.9080
16241,-0.3711,1.1851,10.9415
16251,-0.3567,1.2210,10.9559
